recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x9469c7c25cf9f75c1194989440641a96ddacead2,37260354,54.58,1,0.001091578168436631267374652507
0xf63c1f7a956d182ca4b5e6065068452a7c40162d,36960820,54.45521593510323327,2,0.001089082537051323638927221456
0x11ce4654995f01de07d9472df9db0d6a1819da2b,24688317,54.15,1,0.001082978340433191336173276534
0x1186a90a2ef0c6b45b74c24a79d3e9eb3c5a72df,36604825,54.117319775177583538,1,0.001082324749008571499330013400
0x8ce15ba7316641a01604cc842de6cd3da690a7ff,27699216,53.8,1,0.001075978480430391392172156557
0xdb3f1373fe65d25ba875c41a1c7960913822525d,35985859,53.675,2,0.001073478530429391412171756565
0x6fa2d50e7a627179eda1680df73c24c93f8b0978,32303291,53.344803509590694314,1,0.001066874732697159943081138377
0xa8062c4547827db2879ad16f05f9db8eca0ece11,35871515,52.794771115509521566,1,0.001055874304824093949441011180
0x62394eadd26d52e00ddc8122aba8a6df8e602c95,22855076,52.259018,1,0.001045159456810863782724345513
0x4b0779f56100583bcc9010070f14ab940ba664e5,35996523,52.25,1,0.001044979100417991640167196656
